marker_compound,smiles,formula_verified,verification_strength,source_files,compound_type,temperament,notes
salicin,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,C13H18O7,,bartlett_verified.csv,Phenolic acids,NS-Dry,
salvianolic acid B,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=C3C(C(OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)OC(CC5=CC(=C(C=C5)O)O)C(=O)O)O)O,C36H30O16,,tcm_verified.csv,Phenolic acid esters,Cold-Dry,
schisandrin,CC1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3CC1(C)O)OC)OC)OC)OC)OC)OC,C24H32O7,weak (PubChem self-reported formula),batch1.csv,Lignans,Hot-NS,
stemonine,CCC1C2C3CCC(N3CCCC2OC14C=C(C(=O)O4)C)C5CC(C(=O)O5)C,C22H31NO5,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
tanshinone iia,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,C19H18O3,,tcm_verified.csv,Terpenes (nonvolatile),Hot-NS,
tectoridin,COC1=C(C=C2C(=C1O)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O,C22H22O11,weak (PubChem self-reported formula),batch2.csv,Unknown,Unknown,
tenuifolin,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C(=O)O)OC6C(C(C(C(O6)CO)O)O)O)O)C)C)C2C1)CO)C(=O)O)C,C36H56O12,weak (PubChem self-reported formula),batch1.csv,Volatile oils,Hot-Dry,
tetrahydropalmatine,COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC,C21H25NO4,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
tetramethylpyrazine,CC1=C(N=C(C(=N1)C)C)C,C8H12N2,weak (PubChem self-reported formula),batch1.csv,Alkaloids,Cold-Dry,
thymol,CC1=CC(=C(C=C1)C(C)C)O,C10H14O,,bartlett_verified.csv,Volatile oils,Hot-Dry,
thymoquinone,CC1=CC(=O)C(=CC1=O)C(C)C,C10H12O2,,tcm_verified.csv,Volatile oils,Hot-Dry,
tussilagone,CCC(=CC(=O)OC1CC(C2C(C1=C)CC(=O)C2C(C)OC(=O)C)C(C)C)C,C23H34O5,weak (PubChem self-reported formula),batch2.csv,Terpenes (nonvolatile),Hot-NS,
